date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:21:20	22/22	---M--	200	added ('OK')	text/plain	date:Thu,%2014%20May%202020%2023:21:19%20GMT	https://attendy.unicornplatform.com/robots.txt		(from )
02:21:20	8201/8201	---M--	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2023:21:20%20GMT	https://attendy.unicornplatform.com/	/home/micael/websites/memmememe/attendy.unicornplatform.com/index.html	(from )
02:21:21	387901/387901	---M-Z	200	added ('OK')	text/css	etag:%225ebd27a8-5eb3d%22	https://dghrayk5zwr4u.cloudfront.net/static/templates_css/main.79b90e7b5990.css	/home/micael/websites/memmememe/dghrayk5zwr4u.cloudfront.net/static/templates_css/main.79b90e7b5990.css	(from https://attendy.unicornplatform.com/)
02:21:23	213377/213377	---M-Z	200	added ('OK')	application/javascript	etag:%225ebbc124-34181%22	https://dghrayk5zwr4u.cloudfront.net/static/templates_js/main.b745c938d90e.js	/home/micael/websites/memmememe/dghrayk5zwr4u.cloudfront.net/static/templates_js/main.b745c938d90e.js	(from https://attendy.unicornplatform.com/)
02:21:24	478/478	---MC-	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2023:21:23%20GMT	https://fonts.googleapis.com/css?family=Lato:400,700&display=swap	/home/micael/websites/memmememe/fonts.googleapis.com/cssfcc9.css	(from https://attendy.unicornplatform.com/)
02:21:25	4899/4899	---M--	200	added ('OK')	image/png	etag:%22720c33d12d453dcc52ffbd0f8795495a%22	https://ucarecdn.com/8a62037b-020b-424d-86ef-ba535f42d15a/favicon_icon0.png	/home/micael/websites/memmememe/ucarecdn.com/8a62037b-020b-424d-86ef-ba535f42d15a/favicon_icon0.png	(from https://attendy.unicornplatform.com/)
02:21:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20May%202020%2023:21:25%20GMT	https://attendy.unicornplatform.com/about-us	/home/micael/websites/memmememe/attendy.unicornplatform.com/about-us	(from https://attendy.unicornplatform.com/)
02:21:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20May%202020%2023:21:26%20GMT	https://attendy.unicornplatform.com/sign-up	/home/micael/websites/memmememe/attendy.unicornplatform.com/sign-up	(from https://attendy.unicornplatform.com/)
02:21:27	30904/30904	---M--	200	added ('OK')	image/png	etag:%2228959ddaf7c7957284edba5772e9b592%22	https://ucarecdn.com/345242a4-be43-40f7-88a1-b7af9d1c1072/	/home/micael/websites/memmememe/ucarecdn.com/345242a4-be43-40f7-88a1-b7af9d1c1072/index.html	(from https://attendy.unicornplatform.com/)
02:21:27	319/319	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20May%202020%2023:21:26%20GMT	https://attendy.unicornplatform.com/about-us/	/home/micael/websites/memmememe/attendy.unicornplatform.com/about-us/index.html	(from https://attendy.unicornplatform.com/)
